formatted log,address,neighborhood,Tenant,Application Received,Permit Issued,scope of work desc,Project Description,existing use code,existing use,proposed use code,proposed use,multiple use code,multiple use,Building Area,Number of Stories,map,lot,x coordinate,y coordinate,lat,lng
01-05524-02,2700 CENTENNIAL BLVD,Unknown,U OF O - AUTZEN STADIUM,11/15/01,11/28/01,Phased Permit,"Television Production Studio.See 00-01183-05 for additional info.",7221,"Stadium-Football,etc",7221,"Stadium-Football,etc",NA,NA,4381,1,17032940,301,NA,NA,44.0560098,-122.9886796
01-05524-03,2700 CENTENNIAL BLVD,Unknown,U OF O - AUTZEN STADIUM,11/15/01,11/28/01,Phased Permit,"East Operations Building & Entry Gates.See 00-01183-05 for additional info.",7221,"Stadium-Football,etc",7221,"Stadium-Football,etc",NA,NA,7000,1,17032940,301,NA,NA,44.0560098,-122.9886796
01-05524-04,2700 CENTENNIAL BLVD,Unknown,U OF O - AUTZEN STADIUM,11/15/01,11/28/01,Phased Permit,"East Maintenance Building.See 00-01183-05 for additional info.",7221,"Stadium-Football,etc",7221,"Stadium-Football,etc",NA,NA,5618,1,17032940,301,NA,NA,44.0560098,-122.9886796
02-02896-01,2366 W 7TH AVE,West Eugene Community Organization,SHEPPARD VOLKSWAGON,5/30/02,7/15/02,Phased Permit,Phased Permit: Site preparations and foundation for new auto dealership.,5810,Restaurants,5111,Autos/Other Veh - Whlsle,NA,NA,10060,1,17043511,400,4230253,880875,44.053842,-123.128722
02-04812-01,125 N GARFIELD ST,Trainsong Neighbors,CITY OF EUGENE - POLICE DEPARTMENT,9/13/02,8/13/03,Phased Permit,"Phase 2 - New two-story Police evidence facility and associated sitework (Approved 10/17/03).Phase 1:  Grading/Fill & Existing Foundations/Utilities Demolition ONLY (approved 8/13/03).",NA,NA,6721,Police Protection,NA,NA,17150,2,17042524,4900,4232046,883938,44.062356,-123.121878
02-05662-01,3924 MONROE ST,Southwest Hills Neighborhood Association,NA,11/1/02,12/2/02,Phased Permit,"New Triplex: 3924, 3926, & 3928 Monroe St. Phase One:  Grading and fillPhase Two:  New building",9100,Vacant Land,1132,Apartment  1-4 Units,NA,NA,0,0,18030733,821,4236062,865399,44.012045,-123.104398
02-06455-01,2545 PRAIRIE RD,Industrial Corridor Community Organization,GOLDEN TEMPLE OF OREGON INC,12/24/02,2/3/03,Phased Permit,"Phase 3 - Tenant infill (approved 9/19/03)Phase 2 - Addition-Shell Only (approved 4/8/03)Phase 1:  Foundation for new addition (approved 2/3/03.)",6375,Comml Warehs & Storage,6375,Comml Warehs & Storage,NA,NA,25800,0,17041000,4300,4222275,898247,44.101179,-123.160338
03-02381-01,560 IRVINGTON DR,Santa Clara Community Organization,SPRING CREEK ELEMENTARY,5/29/03,7/9/03,Phased Permit,"Phase 2:  Bldg finish (approved 8/13/03)Phase 1:  Shell & underground utilities for addition of new gymnasium & cafeteria remodel / lighting upgrade (approved 7/9/03).",6812,Elementary School,6812,Elementary School,NA,NA,3818,0,17040230,5502,4226883,903350,44.1147304,-123.1443643
03-03565-01,2455 WILLAKENZIE RD,Cal Young Neighborhood Association,SHELDON HIGH SCHOOL,7/31/03,8/22/03,Phased Permit,Science Wing Addition (phase one just foundation),6814,High School,6814,High School,NA,NA,0,0,17032011,5200,4245433,890540,44.0814129,-123.0729626
03-03910-01,1320 WILLAMETTE ST,Downtown Neighborhood Association,CITY OF EUGENE - FIRE STATION 1,8/19/03,9/11/03,Phased Permit,"Phase 2: New fire station and offices (approved/issued 2/19/04)Phase 1: Demolition, excavation, piling (Approved 9/10/03).",5520,"Tires, Batteries & Access",6722,Fire Stations,NA,NA,27880,2,17033142,14600,4239551,877445,44.0452244,-123.0931552
04-02012-01,"120 S DANEBO AVE, BLDG B",West Eugene Community Organization,CASTLE STORAGE,4/27/04,6/3/04,Phased Permit,Phase 2: Building B,9100,Vacant Land,6375,Comml Warehs & Storage,NA,NA,5880,1,17042834,103,4217137,883136,44.058834,-123.178887
04-02013-01,"120 S DANEBO AVE, BLDG C",West Eugene Community Organization,CASTLE STORAGE,4/27/04,6/3/04,Phased Permit,Phase 2: Building C,9100,Vacant Land,6375,Comml Warehs & Storage,NA,NA,5880,1,17042834,103,4217137,883136,44.058834,-123.178887
04-02014-01,"120 S DANEBO AVE, BLDG  D",West Eugene Community Organization,CASTLE STORAGE,4/27/04,6/3/04,Phased Permit,Phase 2:  Building D,9100,Vacant Land,6375,Comml Warehs & Storage,NA,NA,4410,1,17042834,103,4217137,883136,44.058834,-123.178887
04-02015-01,"120 S DANEBO AVE, BLDG  G",West Eugene Community Organization,CASTLE STORAGE,4/27/04,6/3/04,Phased Permit,Phase 2:  Building G partial,9100,Vacant Land,6375,Comml Warehs & Storage,NA,NA,7110,1,17042834,103,4217137,883136,44.058834,-123.178887
04-02016-01,"120 S DANEBO AVE, BLDG  I",West Eugene Community Organization,CASTLE STORAGE,4/27/04,6/3/04,Phased Permit,Phase 2:  Building I partial,9100,Vacant Land,6375,Comml Warehs & Storage,NA,NA,5220,1,17042834,103,4217137,883136,44.058834,-123.178887
04-04107-01,1375 OLIVE ST,Jefferson Westside Neighbors,NA,8/18/04,5/12/05,Phased Permit,6-story condominium building.,9100,Vacant Land,1113,"Condo, Row or Townhouse",NA,NA,89712,6,17033142,14100,4239275,877080,44.0443641,-123.0939077
04-04679-01,1475 E 15TH AVE,UO Campus,U OF O - LIVING LEARNING CENTER,10/1/04,2/1/05,Phased Permit,"New 71,638 square foot commercial building (NORTH BUILDING) and underground connector tunnel.  (See permit 04-02866-01 for south building).  See 04-04679-02 for phase permit for basement/foundation.",NA,NA,1232,College Dorm,NA,NA,71638,4,17033241,6000,4245136,876853,44.043843,-123.07168
04-04799-01,1500 WESTEC DR,West Eugene Community Organization,FULLER CABINETS,9/28/04,12/14/04,Phased Permit,"Phase 1 - Grading & Fill for future building (approved 11/22/04)Phase 3 - Foundation, slab for new commercial building.(approved 2/22/05)Phase 2 - Building (approved 3/16/05)",9100,Vacant Land,9100,Vacant Land,NA,NA,0,0,17043333,400,4215406,877946,44.0445255,-123.1846982
04-04911-01,57 W 29TH AVE,Friendly Area Neighbors,RITE AID CORPORATION,10/4/04,1/31/05,Phased Permit,Major F - Phase 1 - Addition (RiteAid Store),5999,Other Retail Trade,5999,Other Retail Trade,NA,NA,20910,1,18030643,7500,4239125,870619,44.0264941,-123.0938834
04-05232-01,4135 QUEST DR,Active Bethel Citizens,OREGON MEDICAL GROUP,10/19/04,12/8/04,Phased Permit,New commercial building--Medical Clinic,9100,Vacant Land,9100,Vacant Land,NA,NA,0,0,17041533,1700,4221189,892738,44.0855416,-123.1647918
04-06085-01,4689 W 11TH AVE,West Eugene Community Organization,HERTZ CAR CARE CENTER,12/8/04,2/7/05,Phased Permit,Site work and new commercial building.,9100,Vacant Land,5511,New & Used Cars & Trucks,NA,NA,9490,2,17043310,2400,4217498,879410,44.0486728,-123.1763425
05-00023-01,808 SENECA RD,West Eugene Community Organization,NA,1/4/05,5/5/05,Phased Permit,"New commercial building with concrete tilt walls, metal roof deck, fence enclosed garden center for retail sales of home improvement materials and supplies",4600,Parking Lot,5251,Hardware Store - Retail,NA,NA,0,0,17043520,1900,4226387,880045,44.0512041,-123.143314
05-02747-01,367 RUSTIC PL,Harlow Neighbors,NA,6/1/05,7/29/05,Phased Permit,"Pavillion Terrace. Const. of ""Complex 1"": 2-story bldg. with 8 residential units and 8 attached private garages. Phase 1: Site work and utilities.  Phase 2: foundation. Phase 3: shell.",1111,Single Family Dwelling,1113,"Condo, Row or Townhouse",NA,NA,12462,2,17032911,3503,4245634,885061,44.066394,-123.070634
05-03418-01,28735 AIRPORT RD,Unknown,LANE COMMUNITY COLLEGE,7/7/05,9/14/05,Phased Permit,"Relocation of existing hangar from north side of Eugene Airport to present LCC site at south end. Phase 1: site work; foundation.  Phase II - Construction of hangar wall, private fire hydrant, electric & gas service, asphalt paving",4311,Airport/Takeoff Fields,4315,Aircraft Storage & Equip.,NA,NA,3696,1,17040600,100,4208343,903122,44.1135874,-123.2147327
05-03728-01,1650 CHAMBERS ST,Far West Neighborhood Association,OREGON MEDICAL GROUP,7/25/05,10/14/05,Phased Permit,"Phase 1: Site work and foundation for future medical office addition (approved 10/13/05).Phase 2: Construction of 10,388 square foot (shell only-no interior finishes)(approved 2/8/06).Phase 3: Package 3B - Remodel of existing building (approved 3/22/0",6517,"Medical Clinic, Out-Pat.",6517,"Medical Clinic, Out-Pat.",NA,NA,10338,0,17043634,6100,4232848,876429,44.0419898,-123.1183125
05-04687-01,360 S GARDEN WAY,Harlow Neighbors,CHASE GARDENS MEDICAL CENTER,9/13/05,11/23/05,Phased Permit,New two-story medical office building (Building 1) - Core & Shell Only,9100,Vacant Land,6519,Other Medical & Health Sv,NA,NA,54523,2,17032840,1414,4249820,881184,44.0561306,-123.0542312
05-05420-01,327 RUSTIC PL,Harlow Neighbors,NA,10/18/05,10/19/05,Phased Permit,"""Complex 2"": 2-story bldg. with 13 residential units and 13 attached private garages. Phase 1: foundation.",9100,Vacant Land,1133,Apartment  5-19 Units,NA,NA,0,2,17032911,3503,4245735,884927,44.066349,-123.069868
05-05421-01,347 RUSTIC PL,Harlow Neighbors,NA,10/18/05,10/19/05,Phased Permit,"""Complex 3"": 3-story bldg.with 28 residential units, 20 attached private garages, 3 detached garages.",NA,NA,1134,Apartment  20+ Units,NA,NA,41435,3,17032911,3503,4245660,885270,44.066887,-123.070349
05-05423-01,367 RUSTIC PL,Harlow Neighbors,NA,10/18/05,10/19/05,Phased Permit,Private garage building. Phase 1: foundation only.,NA,NA,4610,Parking Garage,NA,NA,1400,1,17032911,3503,4245634,885061,44.066394,-123.070634
05-06205-01,2975 W 7TH PL,West Eugene Community Organization,LANZ CABINETS,11/29/05,12/8/05,Phased Permit,"Phase I - Grading & Fill onlyPhase II - Site, Civil, Utilities and PavingPhase III - New commercial buildingPhase IV - Office Tenant Infill & Assoc Storage (2 story area)",NA,NA,2599,Other Furniture & Fixture,NA,NA,53870,2,17043512,1903,4227986,880507,44.0525936,-123.1371759
05-06434-01,296 E 5TH AVE,Downtown Neighborhood Association,NA,12/13/05,2/1/06,Phased Permit,"Phase 1(-01): Interior remodel of east building (first and second floor) at 5th Street Public Market. (approved 2/1/06)Phase 2(-03): Foundation & structural for new south entry. (approved 5/16/06)Phase 3 (-08): Courtyard & Fountain Renovations (approv",5999,Other Retail Trade,5999,Other Retail Trade,NA,NA,0,0,17033111,3600,4240802,880552,44.053999,-123.088491
05-06452-01,150 OROYAN AVE,Santa Clara Community Organization,RAY'S FOOD PLACE,12/13/05,5/12/06,Phased Permit,"Phase Two: new commercial building.                                                                          Phase One: Site work including grading, concrete drives, parking lot paving, short-term bike parking, all required site landscaping, and utilities",9100,Vacant Land,5410,Grocery Store,NA,NA,55700,1,17040213,1000,4228804,905482,44.1211495,-123.1372029
06-01679-01,90554 HWY 99N,Industrial Corridor Community Organization,BOW TECH,4/5/06,6/23/06,Phased Permit,Additions to existing manufacturing facility.,2185,NA,2185,NA,NA,NA,25854,2,17040500,3000,4215045,905545,44.1192775,-123.1872483
06-01765-01,3047 LORD BYRON PL,Northeast Neighbors,NA,4/11/06,5/16/06,Phased Permit,"Phase I :  Site work including grading,storm drains, driveways, sidewalks, and catch basins for future lots #50-53  Phase II :  New 3-story single family dwelling with attached garageDO NOT HOLDOVER / GREEN BLDG PROJECT",9100,Vacant Land,9100,Vacant Land,NA,NA,3224,0,17031624,7400,4249176,895581,44.095763,-123.058466
06-01950-01,124 COBURG RD,Cal Young Neighborhood Association,NA,4/19/06,6/26/06,Phased Permit,Phase II: New commercial building                                                                                  Phase One: Parking & landscaping / Building pads for future buildings / Storm & waste piping / Parking lot lights for Oakway Center Corner S,5530,Gas Station,5810,Restaurants,NA,NA,0,0,17032910,404,4243711,884175,44.0641011,-123.0779908
06-02898-01,1005 GREEN ACRES RD,Northeast Neighbors,NA,6/12/06,6/29/06,Phased Permit,Phase 1: Grading & fill only                                                                                                Phase II: New retail building - shell,9100,Vacant Land,9100,Vacant Land,NA,NA,11555,1,17031813,501,4238972,895479,44.0945889,-123.0971691
06-03417-01,3282 W 1ST AVE,West Eugene Community Organization,FERGUSON ENTERPRISES,7/10/06,12/11/06,Phased Permit,"Phase I:  New commercial building shell only for Ferguson Enterprises (plumbing supply wholesale business).Phase II :  Grading and utilities for future industrial building.Phase III: Tenant infill for Ferguson Enterprises which is a plumbing supply wh",NA,NA,6379,Industrial Warehs & Stor.,NA,NA,33750,1,17042600,2300,4226306,882582,44.0581958,-123.1441471
06-03501-01,1265 S BERTELSEN RD,West Eugene Community Organization,NA,7/13/06,9/21/06,Phased Permit,"Two-Phase construction of 13,000 square foot building shell with four tenant spaces.",NA,NA,6379,Industrial Warehs & Stor.,NA,NA,13000,2,17043430,800,4221446,878269,44.0456885,-123.1619262
06-03508-01,975 HATTON AVE,River Road Community Organization,NA,7/13/06,9/29/06,Phased Permit,"Phase II: Building 1 (4-units) = Townhouse    Other bldgs on 06-05508-01 thru 06-05516-01)     Phase 1: Sitework including excavation & grading, structural fill for building pads / base courses for parking areas & drives, site utilities to within 5' of bl",9100,Vacant Land,9100,Vacant Land,NA,NA,4020,2,17041433,4000,4226173,892803,44.0860175,-123.1452145
06-03651-01,4040 W 11TH AVE,West Eugene Community Organization,NA,7/21/06,11/28/06,Phased Permit,"Phase 1: Site work including underground utilities, all vehicle paving areas and landscaping, & foundations for Buildings 1-10.Phase II: Foundations RV Buildings 11-13; building foundation with 3'-4"" high cmu perimter walls, hydronic tubing and undergro",9100,Vacant Land,6379,Industrial Warehs & Stor.,NA,NA,0,0,17043430,102,4221717,878926,44.047744,-123.1609456
06-04053-01,3060 E 25TH AVE,Laurel Hill Valley Citizens,COMFORT SUITES HOTEL,8/11/06,4/19/07,Phased Permit,"Phase II: New Comfort Suites building and all remaining sitework.                                          Phase I: Site grading, site utilities, and foundation for a 3 story hotel with a basement (does not include paving or concrete other than foundation",9100,Vacant Land,9100,Vacant Land,NA,NA,45422,3,18030323,1700,4252176,872449,44.0325268,-123.0441719
06-04998-01,550 E 15TH AVE,West University Neighbors,NA,10/2/06,12/7/06,Phased Permit,"New 26 unit apartment bldg. Units designations: 101-106,201-210,301-310.",1111,Single Family Dwelling,1134,Apartment  20+ Units,NA,NA,35735,3,17033233,4600,4241778,876569,44.043013,-123.084423
06-05154-01,979 PATTERSON ST,West University Neighbors,NA,10/9/06,11/9/06,Phased Permit,"New apartment 26-unit apartment building                                                                 PHASE ONE: Piling, shoring, and basement foundation     PHASE TWO: New 26 unit apartment building (formerly under expired permit 05-04096-01)",9100,Vacant Land,1134,Apartment  20+ Units,NA,NA,29747,3,17033223,7400,4242176,878716,44.048931,-123.083155
07-01038-01,2300 W 11TH AVE,West Eugene Community Organization,APPLEBEE'S RESTAURANT,3/2/07,7/2/07,Phased Permit,"New restaurant: Phase I - sitework, underground utilities, parking lot improvements, building pad / Phase II - New building",9100,Vacant Land,5810,Restaurants,NA,NA,6156,1,17043541,101,4230331,878584,44.0475415,-123.1281402
07-02138-01,175 S GARDEN WAY,Harlow Neighbors,NA,5/2/07,11/21/07,Phased Permit,"Phase One: Grading and site utilities only (no paving)  Phase Two: Type VA, Fully sprinklered, R2 Independent living 120 units 4-story wood frame commercial building.",NA,NA,9100,Vacant Land,NA,NA,0,0,17032840,3000,4250623,882215,44.0591007,-123.0512438
07-03223-01,373 GOODPASTURE ISLAND RD,Goodpasture Island Neighbors,NA,6/25/07,7/25/07,Phased Permit,New building for auto dealership.  Phase 1,5511,New & Used Cars & Trucks,5511,New & Used Cars & Trucks,NA,NA,58074,0,17042440,400,4235661,887971,44.0736407,-123.1092454
07-03766-01,1109 OLD CAMPUS LN,UO Campus,U OF O - ROBINSON THEATER,7/23/07,11/20/07,Phased Permit,"Two story theater additionPhase I: Demolition, excavation, utilities, foundation and structural shellPhase II - Architectural, mechanical, electrical, plumbing, slab-on-grade, landscape and theatrical work",6821,Universities & Colleges,6821,Universities & Colleges,NA,NA,18205,2,17033200,100,4243832,878012,44.0467513,-123.0769816
07-04081-01,90295 AIR CARGO WAY,Unknown,AIR CARGO FACILITY,8/7/07,10/24/07,Phased Permit,New Air Cargo Facility at Eugene Airport,9100,Vacant Land,4311,Airport/Takeoff Fields,NA,NA,14622,1,17040700,101,4208519,902625,44.1125919,-123.2136762
07-04096-01,1655 ALDER ST,UO Campus,U OF O - COLLEGE OF EDUCATION,8/3/07,11/8/07,Phased Permit,"New Commercial Bldg - Phase 1: Site work, surface paving/parking, foundation, basement parking garage and utility tunnel; concrete work up to 3 hr podium slab; Phase 2 - Complete build out",9100,Vacant Land,6821,Universities & Colleges,NA,NA,111364,3,17033200,100,4243213,876007,44.041966,-123.0802043
07-04220-01,90454 BOEING DR,Unknown,FLIGHTCRAFT INC,8/15/07,9/19/07,Phased Permit,Hospitality Addition to existing building.,4311,Airport/Takeoff Fields,4311,Airport/Takeoff Fields,NA,NA,3768,1,17040600,100,4208504,904671,44.116746,-123.214631
07-05618-01,1364 PATTERSON ST,West University Neighbors,NA,10/31/07,12/14/07,Phased Permit,14-unit apartment building.,1133,Apartment  5-19 Units,1133,Apartment  5-19 Units,NA,NA,21305,3,17033232,13800,4241849,877204,44.0448856,-123.0839538
07-05711-01,3237 W 1ST AVE,West Eugene Community Organization,EVERGREEN ROOFING OF OREGON DBA,11/6/07,3/26/08,Phased Permit,New commercial building shell (Building 2) and site work.,9100,Vacant Land,9400,Unused Bldg or Structure,NA,NA,10206,1,17042632,200,4226593,883132,44.0592902,-123.1420882
07-06344-01,1762 HILYARD ST,West University Neighbors,NA,12/12/07,1/24/08,Phased Permit,New 6 unit apartment building.,9100,Vacant Land,1133,Apartment  5-19 Units,NA,NA,0,0,17033233,14200,4242234,875639,44.0405086,-123.0825066
07-06481-01,3894 ROOSEVELT BLVD,Active Bethel Citizens,AMERICAN EAGLE ELECTRIC LLC,12/20/07,2/12/08,Phased Permit,"Phase I: Sitework including new paved parking, landscaping and stormwater for American Eagle Electric Contractor.ELEC Permit CANCELED - new elec permit required to finish this permit, including limited elec. See CHECK ENFORCEMENT.",NA,NA,6623,Electric Work/Contractors,NA,NA,0,0,17042724,702,4222314,884770,44.063767,-123.159325
08-00720-01,440 COBURG RD,Cal Young Neighborhood Association,NA,2/15/08,4/9/08,Phased Permit,"Phase One: Grading, electrical underground, water line, gas line.Phase Two: remaining site work and building 1 shell.",4600,Parking Lot,5999,Other Retail Trade,NA,NA,0,0,17032912,1606,4245088,885270,44.0673264,-123.0731657
08-01158-01,568 N DANEBO AVE,Active Bethel Citizens,NA,3/14/08,6/23/08,Phased Permit,"Phase One: Earthwork and site infrastructure for (8) midrise residential buildingsPhase Two: Completion of sitework and 2-story residential building (Building #4)",9100,Vacant Land,1133,Apartment  5-19 Units,NA,NA,13550,2,17042821,101,4217080,886203,44.0670044,-123.1781626
08-01668-01,50 N DANEBO AVE,Active Bethel Citizens,NA,4/14/08,6/25/08,Phased Permit,"Phase I -- Evo-Jet Process Equipment Foundation.Phase II: Evo-jet process equipment support structure & enclosure & stormwaterPhase III: Misc. foundations & structures for ducting & equipment, as well as new motor control center building",2429,Spec Sawmill Prod - Mfg,2429,Spec Sawmill Prod - Mfg,NA,NA,0,0,17042800,400,4217275,884035,44.0613612,-123.1809172
08-02319-01,1615 E 13TH AVE,UO Campus,U OF O - JAQUA ACADEMIC CENTER,5/20/08,9/24/08,Phased Permit,New Academic Learning Center building on UO campus.,6821,Universities & Colleges,6821,Universities & Colleges,NA,NA,36294,3,17033241,100,4245822,877481,44.0455013,-123.0697198
08-05656-01,4200 ROOSEVELT BLVD,Active Bethel Citizens,NA,12/5/08,2/19/09,Phased Permit,"Phase I: Warehouse Building structure - slabs-on-grade, tilt-up concrete walls, structural steel, roof decking, roofing, and below slab utility stubs;  For EWEB development site Earthwork, Erosion control, utilities, wetlands & landscaping see 08-02079-01",9100,Vacant Land,4810,Electric/Power Companies,NA,NA,39097,1,17042814,5300,4219296,884372,44.062417,-123.1699967
08-05657-01,4200 ROOSEVELT BLVD,Active Bethel Citizens,NA,12/5/08,2/19/09,Phased Permit,"Phase I: Fleet Building structure - slabs-on-grade, tilt-up concrete walls, structural steel, CMU wall,floor and roof decking, roofing, and below slab utility stubs...For EWEB development site Earthwork, Erosion control, utilities, wetlands & landscaping",9100,Vacant Land,4810,Electric/Power Companies,NA,NA,22440,1,17042814,5300,4219296,884372,44.062417,-123.1699967
08-05658-01,4200 ROOSEVELT BLVD,Active Bethel Citizens,NA,12/5/08,2/19/09,Phased Permit,"Phase I: Site Structures/Canopies Building structure - slabs-on-grade, structural steel, CMU walls, roof decking, roofing, and below slab utility stubs...For EWEB development site Earthwork, Erosion control, utilities, wetlands & landscaping see 08-02079-",9100,Vacant Land,4810,Electric/Power Companies,NA,NA,35988,1,17042814,5300,4219296,884372,44.062417,-123.1699967
09-01181-01,2825 LEO HARRIS PKWY,Harlow Neighbors,U OF O - P K PARK BASEBALL STADIUM,4/2/09,6/3/09,Phased Permit,"PHASE 1:(Package A):Sitework, undrgrnd utilities, structural shell, FRTW decking & sheathing. PHASE 2:(Package B):Civil, Landscape, General Construction, Mech. & Elec for remainder of site and stadium construction.",4605,Parking Lot-Recreation,7221,"Stadium-Football,etc",NA,NA,57049,3,17032940,301,4246727,882421,44.0558392,-123.0631465
09-01873-01,648 E 17TH AVE,West University Neighbors,NA,5/15/09,7/15/09,Phased Permit,"Phase One: Demolition of existing improvements, excavation of site, install stormwater measures, abandon existing utilities and fence sitePhase Two : New 20 unit apartment complex - FOUNDATION PERMIT Unit designations are: Apt 1 - 20Phase three: rem",1111,Single Family Dwelling,9100,Vacant Land,NA,NA,34082,3,17033233,15000,4242114,875814,44.0410098,-123.0831599
09-02575-01,29650 E ENID RD,Industrial Corridor Community Organization,SENECA SUSTAINABLE ENERGY,6/30/09,12/23/09,Phased Permit,New Boiler / Turbine Building,9100,Vacant Land,2499,Other Lbr & Wood Products,NA,NA,0,0,17040400,2101,4217815,904088,44.1170872,-123.1812045
09-03594-01,29440 AIRPORT RD,Industrial Corridor Community Organization,NA,8/21/09,11/9/09,Phased Permit,"Phase 1 - Foundation Only for Future 80 x 100 Metal Bldg. (Bldg K)Phase 2 - New Building.",2120,NA,6375,Comml Warehs & Storage,NA,NA,8000,1,17040920,1200,4215575,902824,44.1134128,-123.1874946
09-04526-01,29650 E ENID RD,Industrial Corridor Community Organization,SENECA SUSTAINABLE ENERGY,10/8/09,12/24/09,Phased Permit,Phase 1: New Cooling Tower Foundation,9100,Vacant Land,5211,Lumber Yards,NA,NA,0,0,17040400,2101,4217815,904088,44.1170872,-123.1812045
09-04695-01,1480 W 3RD AVE,Whiteaker Community Council,NA,10/16/09,12/16/09,Phased Permit,"Assembly and storage of Solar Water Heaters.....PHASE 1: Site Preparation, foundation excavation, underground utilities, foundation, building shell erection for stock warehouse building for parts assembly and storage of solar water heaters (electrical wor",9100,Vacant Land,3494,Fab. Struct. Metal Prod.,NA,NA,12653,1,17042543,7600,4233869,881651,44.056499,-123.1151791
09-04711-01,1480 W 3RD AVE,Whiteaker Community Council,NA,10/16/09,12/16/09,Phased Permit,"PHASE 1: Site Preparation, foundation excavation, underground utilities, foundation, building shell erection for storage structure enclosed on three sides for agricultural machinery.PHASE 2: Site Utilities, Storage Structure Tenant Infill, Landscaping,",9100,Vacant Land,3494,Fab. Struct. Metal Prod.,NA,NA,15000,1,17042543,7600,4233869,881651,44.056499,-123.1151791
09-05165-01,1410 ORCHARD ST,Fairmount Neighbors,ORCHARD STREET APARTMENTS,11/12/09,12/9/09,Phased Permit,47 Unit Apartment Complex,4601,Parking Lot-Service,1134,Apartment  20+ Units,NA,NA,78368,5,17033332,3800,4247308,876839,44.0442413,-123.0633696
